Unnamed: 0,nom,desc,accroche,visuel,producteur,contenance,deg_alcool,pays,region,appellation,millesime,accords,gout,caractere,couleur,temp_serv,type_produit,bio,prix,reco1,reco2,reco3,reco4,local_visuel
1128,Château Pape Clément 2019 - Cru Classé de Graves,"Le vin est de couleur rouge rubis de bonne densité, avec des reflets bruns, acajou, tuilé. Brillance et limpidité sont conservées. Le disque est assez épais. Les larmes sont fines et bien marquées, abondantes et régulières. Le nez parait à la fois expressif, franc et complexe. On note toutes sortes de familles de parfums : fruits, floraux, et d'épices. L'attaque en bouche est franche, ronde et suave, caressante même. Des arômes intenses viennent d'abord rappeler les sensations complexes perçues au nez. On y trouve un parfum de cuir et de bois légèrement brûlé, des notes de torréfaction. La beauté du millésime révèle de l'élégance, plus que du volume. Le vin montre une belle amplitude aromatique. Pour ce qui concerne la finale, elle est d'une élégance remarquable.","""Rare mélange d'élégance et de puissance, et encore une fois, un équilibre parfait. C'est l'un des joyaux du millésime"" - Jeb Dunnuck -",63283-fine_default/chateau-pape-clement-2019-cru-classe-de-graves.png,Château Pape Clement,0.75,14.0,France,Bordeaux,Pessac-Léognan,2019,"['Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Champignon']","Ronde, suave, caressante, arômes de cuir, de bois légèrement brûlé, notes de torréfaction, élégance, amplitude","Rouge Complexe, tannique et racé",Rouge,16-18°C,Vin,,99.0,Château Cantemerle 2019 - 5ème Cru Classé,Château Maucaillou 2019,Château Lalande 2019,Chinon Rouge - Les Picasses 2019 - Domaine Olga Raffault,images/01128.png
1129,Premium Rouge 2022 - Château Roubine - Cru Classé,"La cuvée rouge Premium du Château Roubine s'exprime dans une robe rubis profonde, offrant un nez complexe où se mêlent des notes animales et sanguines, accompagnées de notes juteuses. Une subtile note fumée, presque grillée, rappelle le moka, tandis quun léger soupçon de cuir ajoute à la richesse de l'ensemble. En bouche, le mariage du Cabernet Sauvignon, du Grenache et de la Syrah donne naissance à un vin puissant et charnu, parfaitement équilibré. Ce vin harmonieux se marie à merveille avec des mets savoureux comme une daube provençale ou des aubergines au parmesan, pour une expérience gustative mémorable.","Ce vin de Provence, à la robe rubis éclatante, se révèle être un compagnon idéal pour sublimer les saveurs de la cuisine méditerranéenne.",90038-fine_default/premium-rouge-2022-chateau-roubine-cru-classe.png,Château Roubine,0.75,14.0,France,Provence-Alpes-Côte d'Azur,Côtes de Provence,2022,"['Apéritif', 'Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Barbecue', 'Fromage', 'Dessert chocolaté']","Belle tension, fruit rouge éclatant (cerise et acérola), beaux tanins, touche d’épices, de cacao",Rouge Charnu et fruité,Rouge,16-18°C,Vin,"['Certifié Agriculture Biologique', 'Certifié Eurofeuille']",16.5,Villa Garance 2022 - Romain Duvernay,Chinon Rouge - Les Grezeaux 2022 - Bernard Baudry,Marselan - Les Grains 2022 - Marrenon,Bourgueil - Le Grand Clos 2022 - Domaine Yannick Amirault,images/01129.png
1130,Vins d'Infusions Quin Yu 2023 -  Caraguilhes,"Les amateurs de Vins Oranges ne s'y tromperont pas, nous sommes sur une grande cuvée de ""vin d'infusion"". A la dégustation, la bouche est pleine et soyeuse avec une sensation de fraîcheur très agréable. Les notes évoluent sur les écorces d'orange, le pamplemousse et des nuances subtiles de fenouil et de pêche.","Un vin orange doté d'une palette aromatique incroyable, une cuvée pleine de délicatesse.",90989-fine_default/vins-d-infusions-quin-yu-2023-caraguilhes.png,Caraguilhes,0.75,13.5,France,,Vin de France,2023,"['Apéritif', 'Entrée', 'Poisson', 'Viande blanche', 'Volaille', 'Fromage']","Bouche pleine, structurée et fraîche",Orange Fruité et fin,Orange,12-14°C,Vin,"['Certifié Biodyvin', 'Certifié Eurofeuille']",12.9,Furmint 2023 - Zavec Brothers,Chignin Bergeron - Les Cerisiers 2023 - Domaine Fabien Trosset,Nero d'Avola 2023 - Itinera,Chinon Blanc - Sinople 2023 - Château de Coulaine,images/01130.png
1131,Chignin Bergeron - Les Cerisiers 2023 - Domaine Fabien Trosset,"Ce Chignin Bergeron va en surprendre plus d'un ! D'une très belle couleur, son nez invite à la dégustation grâce à une trame épicée ponctuée d'arômes de fruits confits. En bouche, sa fraîcheur et sa minéralité vont vous ravir. C'est un vin qui accompagnera parfaitement bien poisson de lac ou viande blanche grillée !",Un Chignin Bergeron qui va petit à petit s'imposer comme une véritable star de l'appellation !,91054-fine_default/chignin-bergeron-les-cerisiers-2023-domaine-fabien-trosset.png,Domaine Fabien Trosset,0.75,12.5,France,Savoie-Bugey,Savoie Chignin-Bergeron,2023,"['Apéritif', 'Charcuterie', 'Poisson', 'Coquillage & Crustacé', 'Fromage']",Bouche chaleureuse rafraîchie par une minéralité opportune.,,Blanc,14-15°C,Vin,,17.3,Chinon Blanc - Sinople 2023 - Château de Coulaine,Pouilly-Fuissé 1er Cru - Sur la Roche 2023 - Domaine Guerrin et Fils,Otira Single Vineyard Sauvignon Blanc 2023 - Clos Henri Vineyard,Chassagne-Montrachet Blanc La Canière 2023 - Domaine Patrick Miolane,images/01131.png
1132,Sauvignon Blanc - Waihopai River 2024 - The Ned,"Produit par le vigneron Brent Marris et en provenance d'un vignoble unique cultivé sur un sol alluvionnaire caillouteux près de la rivière Waihopai, ce 100 Sauvignon Blanc est une belle entrée en matière vers les grands Sauvignon Blancs de Nouvelle-Zélande. A la robe pâle aux reflets verts clairs, il offre des arômes de zeste de citron et de fruits de la passion, soutenus par des notes minérales et végétales d'herbes fraîches. En bouche, des saveurs croquantes de pomme verte apportent une acidité parfaitement équilibrée.",Envie de vous initiez aux saveurs de Nouvelle-Zélande ? Voici un Sauvignon Blanc de Malborough au fruité et à l'aromatique surprenants !,97856-fine_default/sauvignon-blanc-waihopai-river-2024-the-ned.png,The Ned,0.75,12.5,Nouvelle-Zélande,Marlborough,,2024,"['Apéritif', 'Entrée', 'Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Cuisine du monde', 'Fromage']","Piquant et fruité, il a des saveurs caractéristiques de feuille de cassis et de groseille avec une belle touche fumée et herbacée.",Blanc Sec très aromatique,Blanc,8-10°C,Vin,,16.9,Langhe Arneis Sommo 2024 - Fontanabianca,Mouton Cadet Blanc 2024 - Baron Philippe de Rothschild,Les Perles Blanc 2024 - Vigné-Lourac,Petit Salé 2024 - Château de Roquefort,images/01132.png
1133,Villa Garance 2022 - Romain Duvernay,"Ce Côtes-du-Rhône Villages Visan est un véritable panier de petits fruits rouges juteux, le bouquet se relève empli dépices chaleureuses et de nuances réglissées dans une intense gourmandise. La bouche de belle profondeur séquilibre avec une fraîcheur superbe pour un jus sapide et gouleyant, offrant de délicieux arômes gourmands à la persistance de tapenade et de réglisse.","Une cuvée riche et concentrée, avec une sensation veloutée et une longue finale. Faites confiance à Romain Duvernay...",98420-fine_default/villa-garance-2022-romain-duvernay.png,Romain Duvernay,0.75,14.5,France,Rhône,Côtes du Rhône Villages Visan,2022,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Gibier', 'Champignon', 'Barbecue', 'Cuisine du monde', 'Fromage']","La bouche est riche, texturée et charnue... Les tanins sont bien présents mais élégants jusqu'en finale...",Rouge Puissant et généreux,Rouge,16-17°C,Vin,['Certifié Eurofeuille'],11.5,Chinon Rouge - Les Grezeaux 2022 - Bernard Baudry,Premium Rouge 2022 - Château Roubine - Cru Classé,Bourgueil - Le Grand Clos 2022 - Domaine Yannick Amirault,Les Terrasses 2022 - Château Pesquié,images/01133.png
1134,Nero d'Avola 2023 - Itinera,"Découvrez la typicité du cépage prince de la renaissance œnologique de la Sicile ; le Nero dAvola. En provenance de sols peu profonds argilo-calcaire, avec une bonne teneur en matière organique et en fer, ce Nero d'Avola exprime le cœur chaleureux et méditerranéen de la Sicile. Le vin est vieilli en acier inoxydable pendant environ 4 mois avant d'être mis en bouteille. Il n'est pas vieilli sous bois pour préserver la fraîcheur et la pureté des arômes. En résulte un vin rouge fruité et souple. Au nez, on retrouve des arômes intenses de groseille, de fraise des bois et de grenade. En bouche, c'est autant d'arômes brillants de cerise noire. Le fruit est très bien équilibré par une acidité vive et une touche de tanin modérément sec qui lui confère sa grande buvabilité. En accompagnement d'un bon risotto, c'est tout simplement divin !",Une petite découverte sicilienne ; une cuvée harmonieuse au très bon rapport qualité-prix-plaisir !,98427-fine_default/nero-d-avola-2023-itinera.png,Itinera,0.75,13.0,Italie,Sicile,Sicilia,2023,"['Apéritif', 'Charcuterie', 'Poisson', 'Viande rouge', 'Viande blanche', 'Champignon', 'Barbecue', 'Cuisine du monde', 'Fromage']","En bouche, il a un bon corps aux tanins ronds et souples. Persistance agréable qui conduit à à une finale fruitée.",Rouge Léger et fruité,Rouge,14-16°C,Vin,,8.0,Cairanne 2023 - Domaine Marcel Richaud,Tempranillo 2023 - Vega Demara,Hautes Côtes de Beaune la Perrière 2023 - Domaine Bourgogne Devaux,St Nicolas de Bourgueil - La Source 2023 - Domaine Yannick Amirault,images/01134.png
1135,Clos Culombu Rosé 2024,"Né sur les hauteurs ensoleillées de Calvi, le Culombu Rosé 2024 raconte lhistoire dun terroir corse sauvage et lumineux. Ce rosé, issu des premières vignes familiales, incarne lesprit de partage et dauthenticité propre à lîle de Beauté. Dès les premiers arômes, il séduit avec son nez éclatant de framboise, groseille et pomelo. En bouche, place à la fraîcheur, à la vivacité, et à une jolie touche acidulée qui donne envie dy revenir. Cest un rosé franc, joyeux, certifié bio et médaillé, parfait pour lapéritif, un déjeuner en terrasse ou un dîner entre amis. OuiConvivial, fruité, rafraîchissant : un vrai goût de vacances corses dans le verre.","Fruits acidulés, fraîcheur marine et soleil de Calvi dans chaque gorgée.",99534-fine_default/clos-culombu-rose-2024.png,Clos Culombu,0.75,12.5,France,Corse,Corse Calvi,2024,"['Apéritif', 'Entrée', 'Charcuterie', 'Poisson', 'Viande blanche', 'Volaille', 'Cuisine du monde', 'Dessert fruité']","Fruité, fraîcheur, équilibré, gourmand",Rosé d'apéritif,Rosé,10-12°C,Vin,['Certifié Eurofeuille'],15.0,Cabernet d'Anjou - Loire Originelle 2024 - Dumnacus Vignerons,Bandol - Domaine Les Capélaniers 2024,Les Jolies Filles Classique 2024 - By Paul Aegerter,G de Galoupet 2024 - Château Galoupet,images/01135.png
1136,Chinon Blanc - Sinople 2023 - Château de Coulaine,"Cette parcelle est située sur le lieu-dit Clos de Coulaine , où les vignes de Chenin ont été plantées il y a plus de 30 ans, permettant dexprimer pleinement ce terroir composé dargiles, de limons et de tuffeaux blancs et jaunes. La robe est pâle, le caractère boisé léger vient se fondre dans la matière charnue de ce vin qui a été élevé sur ses lies fines. Lacidité toute naturelle équilibre le gras apporté par le bâtonnage naturel durant la fermentation. Cette cuvée appelle une cuisine raffinée comme les poissons de rivière ou les viandes blanches, mais aussi la cuisine asiatique légèrement relevée.",Un superbe blanc sec d'envergure qui appelle une cuisine raffinée !,94480-fine_default/chinon-blanc-sinople-2023-chateau-de-coulaine.png,Château de Coulaine,0.75,12.0,France,Loire,Chinon,2023,"['Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Volaille', 'Cuisine du monde', 'Fromage']",Bouche équilibrée entre acidité et gras.,Blanc Sec ample et racé,Blanc,10-12°C,Vin,['Certifié Eurofeuille'],16.0,Chignin Bergeron - Les Cerisiers 2023 - Domaine Fabien Trosset,Chassagne-Montrachet Blanc La Canière 2023 - Domaine Patrick Miolane,Pouilly-Fuissé 1er Cru - Sur la Roche 2023 - Domaine Guerrin et Fils,Otira Single Vineyard Sauvignon Blanc 2023 - Clos Henri Vineyard,images/01136.png
1137,Chinon Rouge - Les Grezeaux 2022 - Bernard Baudry,"Issu de la parcelle la plus âgée du domaine environ 60 ans sur un terroir de graves caillouteuses du vignoble de Cravant. La cuvée ""Les Grezeaux"" développe un superbe bouquet de framboise écrasée, de baies sauvages, de mine de crayon ainsi qu'une touche d'épice. Il montre de la concentration avec une matière dense, mais qui reste soyeuse due à linfluence des graviers. C'est un vin à la fois tendre, plein et hédoniste. Le caractère solaire se fondera encore plus avec le temps pour laisser place à lidentité pure du cabernet franc issu des graviers.",Un Chinon tout en générosité et en panache !,93255-fine_default/chinon-rouge-les-grezeaux-2022-bernard-baudry.png,Bernard Baudry,0.75,13.0,France,Loire,Chinon,2022,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Champignon', 'Barbecue', 'Fromage']","Ample, puissant, solaire avec des tannins souples et soyeux.",Rouge Puissant et généreux,Rouge,15-18°C,Vin,['Certifié Eurofeuille'],19.9,Bourgueil - Le Grand Clos 2022 - Domaine Yannick Amirault,Villa Garance 2022 - Romain Duvernay,Les Terrasses 2022 - Château Pesquié,Premium Rouge 2022 - Château Roubine - Cru Classé,images/01137.png
1138,Art de Vivre Blanc 2021 - Gérard Bertrand,"Gérard Bertrand nous livre une cuvée unique en son genre, entre tradition et modernité. On retrouve la touche légèrement douce et très aromatique, caractéristique de la vinification traditionnelle de la clairette. Le choix du flacon a son importance, il fait référence aux premières amphores dans le but de célébrer ce magnifique vignoble qui est le témoin d'une civilisation.","Associez le savoir-faire d'un vigneron de renom, une clairette d'une grande richesse aromatique, le tout dans un flacon unique, et voilà le résultat!",96106-fine_default/art-de-vivre-blanc-2021-gerard-bertrand.png,Gerard Bertrand,0.75,12.5,France,Languedoc-Roussillon,Clairette du Languedoc Adissan,2021,"['Apéritif', 'Entrée', 'Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Champignon', 'Barbecue', 'Cuisine du monde', 'Fromage']",Bouche tendre et fruitée avec une très grande richesse.,Blanc Sec souple et fruité,Blanc,12-14°C,Vin,,13.5,Riesling Grand Cru Winzenberg 2021 - Hubert Meyer,Riesling Zeltinger Sonnenuhr Spatlese GOC 2021 - Markus Molitor,Hermitage - Chante Alouette 2021 - M. Chapoutier,Topography Chenin Blanc 2021 - David & Nadia,images/01138.png
1139,Château Lynch Bages 2020 - 5ème Cru Classé,"Le Lynch-Bages 2020 est un vin puissant et racé doté d'une réelle profondeur, d'une intensité aromatique incroyable ainsi que d'une texture d'une rare volupté. Toutes les signatures classiques de cette fabuleuse propriété de Pauillac sont présentes, mais amplifiées, avec des tanins et des fruits tout aussi énormes. Aujourd'hui, il est d'un style résolument riche et onctueux mais évoluera sur plusieurs décennies. Les pétales de rose, la lavande, la menthe et les épices douces ajoutent des nuances aromatiques d'une complexité rare. Un Lynch Bages à avoir absolument dans sa cave !",Un grand millésime qui complète par sa structure et son expression aromatique la trilogie avec 2018 et 2019 !,60672-fine_default/chateau-lynch-bages-2020-5eme-cru-classe.png,Château Lynch-Bages,0.75,13.0,France,Bordeaux,Pauillac,2020,"['Viande rouge', 'Viande blanche', 'Gibier', 'Champignon']",Ample en bouche grâce à des tanins soyeux et puissants mais avec une finale sur la fraicheur,"Rouge Complexe, tannique et racé",Rouge,17-18°C,Vin,,165.0,Château La Lagune 2020 - 3ème Cru Classé,Château Robin 2020,Château Malbec 2020,Amarone Della Valpolicella 2020 - Vivaldi,images/01139.png
1140,Bourgueil - Le Grand Clos 2022 - Domaine Yannick Amirault,"Provenant dun terroir dargile à silex situé sur des coteaux exposés plein sud, le Cabernet-Franc exprime avec finesse ce terroir dexception. Cette cuvée séduit par ses arômes dominants de fruits rouges et noirs harmonisés par des douces notes épicées et mentholées. Offrant une grande élégance en bouche, les notes boisées sadoucissent avec le temps. Ce vin est à déguster dès aujourdhui en accompagnement d'un carré dagneau, mais il a aussi un potentiel de garde indéniable. Cette cuvée est un véritable coup de cœur.",""" Le vin le plus équilibré et représentatif de notre savoir-faire"" Domaine Yannick Amirault",89799-fine_default/bourgueil-le-grand-clos-2022-domaine-yannick-amirault.png,Domaine Yannick Amirault,0.75,14.0,France,Loire,Bourgueil,2022,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Volaille', 'Gibier', 'Champignon', 'Fromage']",Bouche veloutée et soyeuse.,Rouge Charnu et fruité,Rouge,15-17°C,Vin,"['Certifié Agriculture Biologique', 'Certifié Eurofeuille']",20.9,Chinon Rouge - Les Grezeaux 2022 - Bernard Baudry,Les Terrasses 2022 - Château Pesquié,Villa Garance 2022 - Romain Duvernay,Premium Rouge 2022 - Château Roubine - Cru Classé,images/01140.png
1141,Cabernet d'Anjou - Loire Originelle 2024 - Dumnacus Vignerons,"Vin emblématique de sa région, sa robe est dun rose soutenu. Le Cabernet Franc offre un nez vif sur des arômes de groseille et de fruits acidulés. En bouche, il est vif et tendre sur des notes de fruits frais comme la framboise. Léquilibre doux acidulé permet de proposer ce vin sur des plats autant épicés et exotiques, que sucrés comme le Crémet dAnjou.","Rosé frais, vif et éclatant !",95087-fine_default/cabernet-d-anjou-loire-originelle-2024-dumnacus-vignerons.png,Dumnacus Vignerons,0.75,11.0,France,Loire,Cabernet d'Anjou,2024,"['Apéritif', 'Entrée', 'Charcuterie', 'Poisson', 'Viande rouge', 'Viande blanche', 'Volaille', 'Barbecue', 'Cuisine du monde', 'Dessert fruité']","Grande fraîcheur, jolie minéralité.",Rosé d'apéritif,Rosé,8-10°C,Vin,"['Certifié Agriculture Biologique', 'Certifié Eurofeuille']",8.0,Bandol - Domaine Les Capélaniers 2024,Les Jolies Filles Classique 2024 - By Paul Aegerter,Clos Culombu Rosé 2024,G de Galoupet 2024 - Château Galoupet,images/01141.png
1142,Langhe Arneis Sommo 2024 - Fontanabianca,"Ce 100 Arneis est un vin élégant et floral. Il présente des arômes dagrumes frais, de fleurs blanches et des touches subtiles de fruits à noyau, tels que la pêche blanche et l'abricot. Il y a également une note minérale, presque saline, qui ajoute de la profondeur et du caractère au bouquet. Sa texture est fluide, avec une structure légère mais bien définie. Les saveurs de fruits frais et dagrumes se retrouvent en bouche, accompagnées dune légère touche damande, typique de l'Arneis. La finale est nette et persistante, avec une belle harmonie.",Une magnifique expression de l'Arneis...une invitation à la fraîcheur et à l'élégance du Piémont.,95573-fine_default/langhe-arneis-sommo-2024-fontanabianca.png,Fontanabianca,0.75,13.0,Italie,Piémont,Langhe,2024,"['Apéritif', 'Entrée', 'Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Volaille', 'Cuisine du monde', 'Fromage']",Équilibre gourmand et élégant. Beaucoup de fraîcheur et de longueur.,Blanc Sec souple et fruité,Blanc,8-10°C,Vin,,12.9,Mouton Cadet Blanc 2024 - Baron Philippe de Rothschild,Sauvignon Blanc - Waihopai River 2024 - The Ned,Petit Salé 2024 - Château de Roquefort,Cosmique 2024 - Domaine Capmartin,images/01142.png
1143,Chassagne-Montrachet Blanc La Canière 2023 - Domaine Patrick Miolane,"Découvrez le Domaine Patrick Miolane à travers ce Chassagne-Montrachet ""La Canière"" 2023, un vin qui marie subtilement fraîcheur et rondeur grâce à une vinification méticuleuse. Située sur un terroir argilo-calcaire, près des prestigieux premiers crus Champ-Gain et Cailleret, cette cuvée révèle tout le potentiel dun Chardonnay. Ce vin peut être apprécié dans ses premières années pour sa vivacité ou après quelques années en cave, où il déploiera toute sa complexité. Amateurs de grands blancs bourguignons, laissez-vous séduire par cette cuvée, reflet dun savoir-faire familial et dun terroir dexception.","Un Chassagne-Montrachet élégant, conçu pour sublimer chaque instant de dégustation.",96933-fine_default/chassagne-montrachet-blanc-la-caniere-2023-domaine-patrick-miolane.png,Domaine Patrick Miolane,0.75,13.5,France,Bourgogne,Chassagne Montrachet,2023,"['Apéritif', 'Entrée', 'Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Volaille', 'Fromage', 'Dessert fruité']","En bouche, le vin livre la minéralité de son terroir, assouplie par une finale marquée par le gras.",Blanc Sec très aromatique,Blanc,12-14°C,Vin,,49.9,Chinon Blanc - Sinople 2023 - Château de Coulaine,Chignin Bergeron - Les Cerisiers 2023 - Domaine Fabien Trosset,Picpoul de Pinet 2023 - Domaine Morin-Langaran,Pouilly-Fuissé 1er Cru - Sur la Roche 2023 - Domaine Guerrin et Fils,images/01143.png
1144,Bandol - Domaine Les Capélaniers 2024,"Le Domaine des Capélaniers fait partie des quatre propriétés vinifiées par le Moulin de la Roque, et incarne à lui seul lesprit authentique de la Provence. Niché sur des restanques, entre vignes et oliviers centenaires, ce domaine offre un panorama exceptionnel. Sur la route menant à Sainte Anne, vous apercevrez cette bâtisse typique, juste à quelques pas des vestiges dun ancien moulin à huile. Depuis toujours, la ferme produit du vin, mais cest dans les années 70 quune véritable transformation a eu lieu : le Domaine a choisi de se consacrer exclusivement à la production de vin de Bandol, un choix qui fait désormais sa renommée. Le vin présente une robe rubis claire, annonçant une grande fraîcheur. Au nez, des fragrances gourmandes de fraise, de framboise et de groseille sentrelacent subtilement avec une pointe dépices. En bouche, il révèle une texture charnue et une palette aromatique complexe, à la fois fraîche, élégante et pleine de caractère.","Domaine Les Capélaniers rosé, où tradition et élégance se rencontrent.",98663-fine_default/bandol-domaine-les-capelaniers-2024.png,Moulin de la Roque,0.75,13.5,France,Provence-Alpes-Côte d'Azur,Bandol,2024,"['Apéritif', 'Entrée', 'Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Cuisine du monde']","Le côté charnu est directement mis en avant, ensuite vient une palette aromatique complexe, fraîche et élégante.",Rosé de repas,Rosé,10-12°C,Vin,['Certifié Eurofeuille'],14.6,Les Jolies Filles Classique 2024 - By Paul Aegerter,Cabernet d'Anjou - Loire Originelle 2024 - Dumnacus Vignerons,Clos Culombu Rosé 2024,G de Galoupet 2024 - Château Galoupet,images/01144.png
1145,Cairanne 2023 - Domaine Marcel Richaud,"On ne présente plus Marcel Richaud, le travail de la vigne et la vinification sont dune précision et dune constance à chaque millésime. Les maîtres mots sont gourmandise et fraîcheur Sur ce 2023, la Star de Cairanne a encore une fois réussi son pari, le vin est intense sur le fruit, puissant mais pas lourd, généreux et velouté En bref cest une cuvée à découvrir sans plus attendre Mais attention, les volumes restent restreints et le jus est addictif !",Marcel Richaud est tout simplement la référence ultime en Cairanne !,96340-fine_default/cairanne-2023-domaine-marcel-richaud.png,Domaine Marcel Richaud,0.75,15.0,France,Rhône,Cairanne,2023,"['Charcuterie', 'Viande rouge', 'Viande blanche', 'Gibier', 'Champignon', 'Barbecue', 'Cuisine du monde', 'Fromage']",Des fruits bien mûrs sur une texture soyeuse et ample.,Rouge Elégant et racé,Rouge,15-18°C,Vin,['Certifié Eurofeuille'],21.0,Nero d'Avola 2023 - Itinera,Tempranillo 2023 - Vega Demara,St Nicolas de Bourgueil - La Source 2023 - Domaine Yannick Amirault,Hautes Côtes de Beaune la Perrière 2023 - Domaine Bourgogne Devaux,images/01145.png
1146,Les Jolies Filles Classique 2024 - By Paul Aegerter,"Les Jolies Filles cest lhistoire dun rosé moderne et sûr de lui qui, sans détour, assume ce quil est : un rosé tendance ! Frais et élégant, la robe est pâle avec des reflets roses. Le nez s'ouvre généreusement sur des notes d'agrumes et de pêches blanches. La bouche est agréablement fruitée avec une finale saline. À lapproche de lété, vous vous demandez sans doute sur quel rosé jeter votre dévolu pour accompagner vos apéritifs et vos barbecues.",Le rosé qui va vous faire de lœil pendant tout lété ! Soyez 100 tendance...,97813-fine_default/les-jolies-filles-classique-2024-by-paul-aegerter.png,Château Yssole,0.75,12.5,France,Provence-Alpes-Côte d'Azur,Méditerranée,2024,"['Apéritif', 'Charcuterie', 'Poisson', 'Viande blanche', 'Barbecue']","Bouche agréablement fruitée, finale saline",Rosé d'apéritif,Rosé,10-12°C,Vin,,10.95,Bandol - Domaine Les Capélaniers 2024,Cabernet d'Anjou - Loire Originelle 2024 - Dumnacus Vignerons,Clos Culombu Rosé 2024,G de Galoupet 2024 - Château Galoupet,images/01146.png
1147,Les Terrasses 2022 - Château Pesquié,"Cette cuvée, d'une couleur rubis foncée, propose des arômes de fruits frais et d'épices poivrées. En bouche, l'équilibre entre fraîcheur et rondeur est superbe. La finale est d'une belle amplitude avec une belle concentration, rappelle le nez, avec des notes fruitées et épicées. Une vendange foulée et éraflée. et pour obtenir une belle extraction de la couleur et des arômes la macération de ce vin est de 15 jours.","Doté d'une grande concentration, de tanins veloutés et de belles notes sur une longue finale.",97193-fine_default/les-terrasses-2022-chateau-pesquie.png,Château Pesquié,0.75,14.5,France,Rhône,Ventoux,2022,"['Viande rouge', 'Volaille', 'Barbecue', 'Fromage']","Très équilibré, frais, rond avec des arômes de fruits rouges, des notes florales et épicées",Rouge Charnu et fruité,Rouge,16-18°C,Vin,"['Certifié Agriculture Biologique', 'Certifié Eurofeuille']",12.5,Bourgueil - Le Grand Clos 2022 - Domaine Yannick Amirault,Chinon Rouge - Les Grezeaux 2022 - Bernard Baudry,Villa Garance 2022 - Romain Duvernay,Premium Rouge 2022 - Château Roubine - Cru Classé,images/01147.png
1148,Mouton Cadet Blanc 2024 - Baron Philippe de Rothschild,"Depuis sa création par le Baron Philippe de Rothschild en 1930, Mouton Cadet fait rayonner la tradition bordelaise et ses grands cépages. Sélectionné parmi les meilleures parcelles de la région bordelaise, le Mouton Cadet Blanc est présent sur toutes les grandes tables d'établissements prestigieux. Une véritable valeur sûre aux délicieuses notes d'agrumes !",Découvrez ce Mouton Cadet Blanc frais et minéral au parfait équilibre entre fraîcheur et fruité !,97872-fine_default/mouton-cadet-blanc-2024-baron-philippe-de-rothschild.png,Mouton Cadet,0.75,12.0,France,Bordeaux,Bordeaux,2024,"['Apéritif', 'Entrée', 'Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Volaille', 'Fromage']","Attaque fraîche marquée par une belle expression de citron vert et de kumquat. Bouche ronde et charnue, d'intenses notes de pêche jaune, notes acidulées d'abricot et de mirabelle",Blanc Sec souple et fruité,Blanc,8-10°C,Vin,,9.2,Langhe Arneis Sommo 2024 - Fontanabianca,Sauvignon Blanc - Waihopai River 2024 - The Ned,Petit Salé 2024 - Château de Roquefort,Cosmique 2024 - Domaine Capmartin,images/01148.png
1149,Pinot Noir Collection Familiale 2024 - Henri Ehrhart,"Cépage noble par excellence, le Pinot Noir travaillé par la Maison Ehrhart exige de la rigueur et une production maîtrisée. Il produit, sous le climat alsacien, un vin gouleyant et fruité, à la robe rubis étincelante, pour répondre à la demande dun vin rouge souple aux tanins fondus et soyeux. Ce Pinot Noir de la Réserve Particulière d'Ehrhart ne redoutera pas les pièces de bœufs ou les plats en sauce !",Une bombe de fraîcheur et d'arômes fruités à un prix plus qu'abordable ! Parfait pour recevoir vos convives à l'improviste !,100398-fine_default/pinot-noir-collection-familiale-2024-henri-ehrhart.png,Henri Ehrhart,0.75,12.5,France,Alsace,Alsace Pinot Noir,2024,"['Entrée', 'Charcuterie', 'Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Fromage']","Souplesse, fraîcheur, gouleyant.",Rouge Léger et fruité,Rouge,15-18°C,Vin,,10.9,Pinot Noir Collection Familiale 2024 - Henri Ehrhart,Syrah 2024 - Laurent Combier,Arcane le Fou - Xavier Vignon,Rouge 2024 - Umanu,images/01149.png
